TeamName,ID,Name,Email,Game,Skill,Role,Personality
Strict Team 1,Participant_93,user93@university.edu,CS:GO,4,Defender,Thinker
Strict Team 1,Participant_72,user72@university.edu,DOTA 2,5,Attacker,Thinker
Strict Team 1,Participant_92,user92@university.edu,Basketball,7,Attacker,Balanced
Strict Team 1,Participant_87,user87@university.edu,Basketball,4,Attacker,Thinker

Strict Team 2,Participant_76,user76@university.edu,FIFA,7,Strategist,Leader
Strict Team 2,Participant_48,user48@university.edu,Valorant,6,Defender,Thinker
Strict Team 2,Participant_81,user81@university.edu,FIFA,10,Strategist,Thinker
Strict Team 2,Participant_85,user85@university.edu,Basketball,10,Coordinator,Leader

Strict Team 3,Participant_39,user39@university.edu,FIFA,5,Supporter,Thinker
Strict Team 3,Participant_88,user88@university.edu,FIFA,4,Defender,Leader
Strict Team 3,Participant_25,user25@university.edu,FIFA,9,Coordinator,Leader
Strict Team 3,Participant_69,user69@university.edu,CS:GO,5,Supporter,Thinker

Strict Team 4,Participant_47,user47@university.edu,DOTA 2,10,Attacker,Balanced
Strict Team 4,Participant_77,user77@university.edu,FIFA,2,Attacker,Balanced
Strict Team 4,Participant_27,user27@university.edu,Chess,6,Attacker,Thinker
Strict Team 4,Participant_95,user95@university.edu,CS:GO,2,Coordinator,Balanced

Strict Team 5,Participant_14,user14@university.edu,FIFA,3,Supporter,Balanced
Strict Team 5,Participant_91,user91@university.edu,FIFA,10,Strategist,Leader
Strict Team 5,Participant_61,user61@university.edu,CS:GO,7,Strategist,Leader
Strict Team 5,Participant_20,user20@university.edu,Valorant,3,Coordinator,Balanced

Strict Team 6,Participant_84,user84@university.edu,FIFA,5,Supporter,Thinker
Strict Team 6,Participant_89,user89@university.edu,Chess,6,Supporter,Balanced
Strict Team 6,Participant_19,user19@university.edu,FIFA,9,Supporter,Leader
Strict Team 6,Participant_50,user50@university.edu,Basketball,5,Coordinator,Balanced

