TeamName,Name,Email,Game,Skill,Role
Team 1,Participant_19,user19@university.edu,FIFA,9,Supporter
Team 1,Participant_3,user3@university.edu,FIFA,4,Defender
Team 1,Participant_99,user99@university.edu,Valorant,3,Supporter
Team 1,Participant_38,user38@university.edu,Valorant,1,Defender
Team 2,Participant_13,user13@university.edu,DOTA 2,4,Defender
Team 2,Participant_51,user51@university.edu,FIFA,2,Strategist
Team 2,Participant_30,user30@university.edu,CS:GO,4,Coordinator
Team 2,Participant_62,user62@university.edu,Basketball,6,Attacker
Team 3,Participant_88,user88@university.edu,FIFA,4,Defender
Team 3,Participant_66,user66@university.edu,Chess,1,Strategist
Team 3,Participant_33,user33@university.edu,FIFA,7,Defender
Team 3,Participant_50,user50@university.edu,Basketball,5,Coordinator
Team 4,Participant_61,user61@university.edu,CS:GO,7,Strategist
Team 4,Participant_42,user42@university.edu,DOTA 2,7,Attacker
Team 4,Participant_6,user6@university.edu,CS:GO,2,Strategist
Team 4,Participant_65,user65@university.edu,DOTA 2,7,Coordinator
Team 5,Participant_46,user46@university.edu,CS:GO,5,Strategist
Team 5,Participant_21,user21@university.edu,FIFA,4,Strategist
Team 5,Participant_96,user96@university.edu,DOTA 2,8,Strategist
Team 5,Participant_23,user23@university.edu,CS:GO,3,Defender
Team 6,Participant_25,user25@university.edu,FIFA,9,Coordinator
Team 6,Participant_75,user75@university.edu,Valorant,8,Coordinator
Team 6,Participant_63,user63@university.edu,Chess,8,Defender
Team 6,Participant_56,user56@university.edu,Basketball,4,Strategist
Team 7,Participant_52,user52@university.edu,FIFA,2,Attacker
Team 7,Participant_81,user81@university.edu,FIFA,10,Strategist
Team 7,Participant_9,user9@university.edu,CS:GO,6,Supporter
Team 7,Participant_86,user86@university.edu,FIFA,9,Strategist
Team 8,Participant_94,user94@university.edu,CS:GO,2,Supporter
Team 8,Participant_69,user69@university.edu,CS:GO,5,Supporter
Team 8,Participant_80,user80@university.edu,Basketball,1,Coordinator
Team 8,Participant_11,user11@university.edu,Basketball,8,Strategist
Team 9,Participant_34,user34@university.edu,FIFA,7,Supporter
Team 9,Participant_54,user54@university.edu,Valorant,8,Supporter
Team 9,Participant_44,user44@university.edu,FIFA,6,Supporter
Team 9,Participant_31,user31@university.edu,Basketball,8,Strategist
Team 10,Participant_79,user79@university.edu,Chess,5,Supporter
Team 10,Participant_24,user24@university.edu,DOTA 2,7,Supporter
Team 10,Participant_32,user32@university.edu,DOTA 2,2,Attacker
Team 10,Participant_29,user29@university.edu,Basketball,5,Supporter
Team 11,Participant_16,user16@university.edu,CS:GO,6,Strategist
Team 11,Participant_93,user93@university.edu,CS:GO,4,Defender
Team 11,Participant_85,user85@university.edu,Basketball,10,Coordinator
Team 11,Participant_71,user71@university.edu,Chess,8,Strategist
Team 12,Participant_7,user7@university.edu,DOTA 2,5,Attacker
Team 12,Participant_15,user15@university.edu,DOTA 2,8,Coordinator
Team 12,Participant_97,user97@university.edu,FIFA,3,Attacker
Team 12,Participant_28,user28@university.edu,CS:GO,8,Defender
Team 13,Participant_49,user49@university.edu,Basketball,3,Supporter
Team 13,Participant_60,user60@university.edu,CS:GO,4,Coordinator
Team 13,Participant_74,user74@university.edu,FIFA,3,Supporter
Team 13,Participant_17,user17@university.edu,CS:GO,10,Attacker
Team 14,Participant_58,user58@university.edu,Valorant,3,Defender
Team 14,Participant_78,user78@university.edu,FIFA,6,Defender
Team 14,Participant_76,user76@university.edu,FIFA,7,Strategist
Team 14,Participant_89,user89@university.edu,Chess,6,Supporter
Team 15,Participant_37,user37@university.edu,DOTA 2,8,Attacker
Team 15,Participant_72,user72@university.edu,DOTA 2,5,Attacker
Team 15,Participant_26,user26@university.edu,Chess,8,Strategist
Team 15,Participant_98,user98@university.edu,CS:GO,5,Defender
Team 16,Participant_70,user70@university.edu,Basketball,1,Coordinator
Team 16,Participant_39,user39@university.edu,FIFA,5,Supporter
Team 16,Participant_83,user83@university.edu,DOTA 2,10,Defender
Team 16,Participant_101,user101@university.edu,Valorant,6,Supporter
Team 17,Participant_64,user64@university.edu,CS:GO,6,Supporter
Team 17,Participant_84,user84@university.edu,FIFA,5,Supporter
Team 17,Participant_53,user53@university.edu,DOTA 2,7,Defender
Team 17,Participant_47,user47@university.edu,DOTA 2,10,Attacker
Team 18,Participant_22,user22@university.edu,Chess,9,Attacker
Team 18,Participant_87,user87@university.edu,Basketball,4,Attacker
Team 18,Participant_59,user59@university.edu,DOTA 2,4,Supporter
Team 18,Participant_43,user43@university.edu,DOTA 2,2,Defender
Team 19,Participant_91,user91@university.edu,FIFA,10,Strategist
Team 19,Participant_45,user45@university.edu,Chess,2,Coordinator
Team 19,Participant_68,user68@university.edu,Chess,1,Defender
Team 19,Participant_14,user14@university.edu,FIFA,3,Supporter
Team 20,Participant_1,user1@university.edu,Chess,2,Strategist
Team 20,Participant_12,user12@university.edu,DOTA 2,3,Attacker
Team 20,Participant_92,user92@university.edu,Basketball,7,Attacker
Team 20,Participant_5,user5@university.edu,CS:GO,9,Coordinator
Team 21,Participant_4,user4@university.edu,Basketball,4,Supporter
Team 21,Participant_48,user48@university.edu,Valorant,6,Defender
Team 21,Participant_40,user40@university.edu,Chess,9,Coordinator
Team 21,Participant_8,user8@university.edu,Valorant,10,Defender
Team 22,Participant_55,user55@university.edu,Chess,8,Coordinator
Team 22,Participant_57,user57@university.edu,CS:GO,7,Attacker
Team 22,Participant_77,user77@university.edu,FIFA,2,Attacker
Team 22,Participant_35,user35@university.edu,Basketball,8,Coordinator
Team 23,Participant_10,user10@university.edu,Valorant,5,Coordinator
Team 23,Participant_36,user36@university.edu,Chess,9,Strategist
Team 23,Participant_95,user95@university.edu,CS:GO,2,Coordinator
Team 23,Participant_2,user2@university.edu,FIFA,5,Attacker
Team 24,Participant_100,user100@university.edu,CS:GO,7,Coordinator
Team 24,Participant_90,user90@university.edu,Chess,5,Coordinator
Team 24,Participant_73,user73@university.edu,DOTA 2,8,Defender
Team 25,Participant_67,user67@university.edu,Basketball,1,Attacker
Team 25,Participant_18,user18@university.edu,FIFA,3,Defender
Team 25,Participant_41,user41@university.edu,Basketball,5,Strategist
Team 26,Participant_82,user82@university.edu,Valorant,10,Attacker
Team 26,Participant_27,user27@university.edu,Chess,6,Attacker
Team 26,Participant_20,user20@university.edu,Valorant,3,Coordinator
