TeamName,ID,Name,Email,Game,Skill,Role,Personality
Team 1,Participant_79,user79@university.edu,Chess,5,Supporter,Leader
Team 1,Participant_87,user87@university.edu,Basketball,4,Attacker,Thinker
Team 1,Participant_84,user84@university.edu,FIFA,5,Supporter,Thinker
Team 1,Participant_38,user38@university.edu,Valorant,1,Defender,Balanced
Team 1,Participant_64,user64@university.edu,CS:GO,6,Supporter,Balanced

Team 2,Participant_13,user13@university.edu,DOTA 2,4,Defender,Leader
Team 2,Participant_39,user39@university.edu,FIFA,5,Supporter,Thinker
Team 2,Participant_42,user42@university.edu,DOTA 2,7,Attacker,Thinker
Team 2,Participant_92,user92@university.edu,Basketball,7,Attacker,Balanced
Team 2,Participant_67,user67@university.edu,Basketball,1,Attacker,Balanced

Team 3,Participant_97,user97@university.edu,FIFA,3,Attacker,Leader
Team 3,Participant_45,user45@university.edu,Chess,2,Coordinator,Thinker
Team 3,Participant_54,user54@university.edu,Valorant,8,Supporter,Thinker
Team 3,Participant_8,user8@university.edu,Valorant,10,Defender,Balanced
Team 3,Participant_50,user50@university.edu,Basketball,5,Coordinator,Balanced

Team 4,Participant_40,user40@university.edu,Chess,9,Coordinator,Leader
Team 4,Participant_21,user21@university.edu,FIFA,4,Strategist,Thinker
Team 4,Participant_24,user24@university.edu,DOTA 2,7,Supporter,Thinker
Team 4,Participant_58,user58@university.edu,Valorant,3,Defender,Balanced
Team 4,Participant_98,user98@university.edu,CS:GO,5,Defender,Balanced

Team 5,Participant_49,user49@university.edu,Basketball,3,Supporter,Leader
Team 5,Participant_90,user90@university.edu,Chess,5,Coordinator,Thinker
Team 5,Participant_66,user66@university.edu,Chess,1,Strategist,Thinker
Team 5,Participant_53,user53@university.edu,DOTA 2,7,Defender,Balanced
Team 5,Participant_83,user83@university.edu,DOTA 2,10,Defender,Balanced

Team 6,Participant_55,user55@university.edu,Chess,8,Coordinator,Leader
Team 6,Participant_101,user101@university.edu,FIFA,4,Coordinator,Thinker
Team 6,Participant_36,user36@university.edu,Chess,9,Strategist,Thinker
Team 6,Participant_56,user56@university.edu,Basketball,4,Strategist,Balanced
Team 6,Participant_35,user35@university.edu,Basketball,8,Coordinator,Balanced

Team 7,Participant_28,user28@university.edu,CS:GO,8,Defender,Leader
Team 7,Participant_57,user57@university.edu,CS:GO,7,Attacker,Thinker
Team 7,Participant_6,user6@university.edu,CS:GO,2,Strategist,Thinker
Team 7,Participant_2,user2@university.edu,FIFA,5,Attacker,Balanced
Team 7,Participant_41,user41@university.edu,Basketball,5,Strategist,Balanced

Team 8,Participant_25,user25@university.edu,FIFA,9,Coordinator,Leader
Team 8,Participant_27,user27@university.edu,Chess,6,Attacker,Thinker
Team 8,Participant_69,user69@university.edu,CS:GO,5,Supporter,Thinker
Team 8,Participant_62,user62@university.edu,Basketball,6,Attacker,Balanced
Team 8,Participant_68,user68@university.edu,Chess,1,Defender,Balanced

Team 9,Participant_16,user16@university.edu,CS:GO,6,Strategist,Leader
Team 9,Participant_75,user75@university.edu,Valorant,8,Coordinator,Thinker
Team 9,Participant_48,user48@university.edu,Valorant,6,Defender,Thinker
Team 9,Participant_100,user100@university.edu,CS:GO,7,Coordinator,Balanced
Team 9,Participant_61,user61@university.edu,CS:GO,7,Strategist,Balanced

Team 10,Participant_94,user94@university.edu,CS:GO,2,Supporter,Leader
Team 10,Participant_9,user9@university.edu,CS:GO,6,Supporter,Thinker
Team 10,Participant_33,user33@university.edu,FIFA,7,Defender,Thinker
Team 10,Participant_5,user5@university.edu,CS:GO,9,Coordinator,Balanced
Team 10,Participant_22,user22@university.edu,Chess,9,Attacker,Balanced

Team 11,Participant_37,user37@university.edu,DOTA 2,8,Attacker,Leader
Team 11,Participant_30,user30@university.edu,CS:GO,4,Coordinator,Thinker
Team 11,Participant_93,user93@university.edu,CS:GO,4,Defender,Thinker
Team 11,Participant_77,user77@university.edu,FIFA,2,Attacker,Balanced
Team 11,Participant_86,user86@university.edu,FIFA,9,Strategist,Balanced

Team 12,Participant_70,user70@university.edu,Basketball,1,Coordinator,Leader
Team 12,Participant_15,user15@university.edu,DOTA 2,8,Coordinator,Thinker
